id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_korban,jumlah_korban,satuan,tahun
225,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LUKA-LUKA,0,JIWA,2013
226,32,JAWA BARAT,3271,KOTA BOGOR,MENDERITA,0,JIWA,2013
227,32,JAWA BARAT,3271,KOTA BOGOR,HILANG,0,JIWA,2013
228,32,JAWA BARAT,3271,KOTA BOGOR,MENINGGAL DUNIA,4,JIWA,2013
229,32,JAWA BARAT,3271,KOTA BOGOR,LUKA-LUKA,0,JIWA,2013
230,32,JAWA BARAT,3271,KOTA BOGOR,MENGUNGSI,1046,JIWA,2013
231,32,JAWA BARAT,3272,KOTA SUKABUMI,MENDERITA,22,JIWA,2013
232,32,JAWA BARAT,3272,KOTA SUKABUMI,HILANG,0,JIWA,2013
233,32,JAWA BARAT,3272,KOTA SUKABUMI,MENINGGAL DUNIA,0,JIWA,2013
234,32,JAWA BARAT,3272,KOTA SUKABUMI,LUKA-LUKA,2,JIWA,2013
235,32,JAWA BARAT,3272,KOTA SUKABUMI,MENGUNGSI,0,JIWA,2013
236,32,JAWA BARAT,3273,KOTA BANDUNG,MENDERITA,75,JIWA,2013
237,32,JAWA BARAT,3273,KOTA BANDUNG,HILANG,0,JIWA,2013
238,32,JAWA BARAT,3273,KOTA BANDUNG,MENINGGAL DUNIA,0,JIWA,2013
239,32,JAWA BARAT,3273,KOTA BANDUNG,LUKA-LUKA,0,JIWA,2013
240,32,JAWA BARAT,3273,KOTA BANDUNG,MENGUNGSI,75,JIWA,2013
241,32,JAWA BARAT,3274,KOTA CIREBON,MENDERITA,39,JIWA,2013
242,32,JAWA BARAT,3274,KOTA CIREBON,HILANG,0,JIWA,2013
243,32,JAWA BARAT,3274,KOTA CIREBON,MENINGGAL DUNIA,2,JIWA,2013
244,32,JAWA BARAT,3274,KOTA CIREBON,LUKA-LUKA,2,JIWA,2013
245,32,JAWA BARAT,3274,KOTA CIREBON,MENGUNGSI,0,JIWA,2013
246,32,JAWA BARAT,3275,KOTA BEKASI,MENDERITA,8687,JIWA,2013
247,32,JAWA BARAT,3275,KOTA BEKASI,HILANG,0,JIWA,2013
248,32,JAWA BARAT,3275,KOTA BEKASI,MENINGGAL DUNIA,2,JIWA,2013
249,32,JAWA BARAT,3275,KOTA BEKASI,LUKA-LUKA,6,JIWA,2013
250,32,JAWA BARAT,3275,KOTA BEKASI,MENGUNGSI,150,JIWA,2013
251,32,JAWA BARAT,3276,KOTA DEPOK,MENDERITA,9,JIWA,2013
252,32,JAWA BARAT,3276,KOTA DEPOK,HILANG,0,JIWA,2013
253,32,JAWA BARAT,3276,KOTA DEPOK,MENINGGAL DUNIA,0,JIWA,2013
254,32,JAWA BARAT,3276,KOTA DEPOK,LUKA-LUKA,0,JIWA,2013
255,32,JAWA BARAT,3276,KOTA DEPOK,MENGUNGSI,70,JIWA,2013
256,32,JAWA BARAT,3277,KOTA CIMAHI,MENDERITA,500,JIWA,2013
257,32,JAWA BARAT,3277,KOTA CIMAHI,HILANG,0,JIWA,2013
258,32,JAWA BARAT,3277,KOTA CIMAHI,MENINGGAL DUNIA,0,JIWA,2013
259,32,JAWA BARAT,3277,KOTA CIMAHI,LUKA-LUKA,0,JIWA,2013
260,32,JAWA BARAT,3277,KOTA CIMAHI,MENGUNGSI,0,JIWA,2013
261,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENDERITA,0,JIWA,2013
262,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HILANG,0,JIWA,2013
263,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENINGGAL DUNIA,0,JIWA,2013
264,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LUKA-LUKA,2,JIWA,2013
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MENGUNGSI,0,JIWA,2013
266,32,JAWA BARAT,3279,KOTA BANJAR,MENDERITA,1,JIWA,2013
267,32,JAWA BARAT,3279,KOTA BANJAR,HILANG,0,JIWA,2013
268,32,JAWA BARAT,3279,KOTA BANJAR,MENINGGAL DUNIA,2,JIWA,2013
269,32,JAWA BARAT,3279,KOTA BANJAR,LUKA-LUKA,2,JIWA,2013
270,32,JAWA BARAT,3279,KOTA BANJAR,MENGUNGSI,0,JIWA,2013
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENDERITA,2762,JIWA,2014
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,HILANG,2,JIWA,2014
273,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENINGGAL DUNIA,0,JIWA,2014
274,32,JAWA BARAT,3201,KABUPATEN BOGOR,LUKA-LUKA,28,JIWA,2014
275,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENGUNGSI,10,JIWA,2014
276,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENDERITA,602,JIWA,2014
277,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HILANG,0,JIWA,2014
278,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENINGGAL DUNIA,2,JIWA,2014
279,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LUKA-LUKA,5,JIWA,2014
280,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENGUNGSI,313,JIWA,2014
281,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENDERITA,26,JIWA,2014
282,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HILANG,1,JIWA,2014
283,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENINGGAL DUNIA,2,JIWA,2014
284,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LUKA-LUKA,0,JIWA,2014
